epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.12489339490470745,0.12812419202694605,77277,34,45,2856,0.9639704782326833,0.9257242745328298,0.1439188362006392,0.030201342281879196
2,0.034613559361502566,0.04567454098162564,79159,50,29,974,0.9872338303495737,0.9073347521770373,0.12385143875522131,0.053604436229205174
3,0.02654837912995382,0.14599715345449518,77335,33,46,2798,0.9647060290230888,0.9336231679389977,0.15375040261388226,0.03147451248717072
4,0.02289374836279092,0.03476448478434397,79494,51,28,639,0.9913977958410213,0.825937480204982,0.06578026056996697,0.07506702412868632
5,0.01964897219070224,0.028050431531284382,79672,59,20,461,0.9935171794743929,0.862570801991057,0.08795224458325371,0.07142857142857142
6,0.012359230049443466,0.04257826669449547,79495,51,28,638,0.9914102628035706,0.91061624290124,0.1254028310844613,0.07516778523489932
7,0.016054386479033754,0.03803825281170621,79635,53,26,498,0.9931307036353663,0.9322772251890726,0.14593790039249618,0.08623548922056384
8,0.009003611596742955,0.02709745985349927,79946,61,18,187,0.9969081932877873,0.8891808349631396,0.10583286615116289,0.1267605633802817
9,2.1309616185158154e-05,0.03040167766432668,79985,63,16,148,0.9973694709021094,0.8899890640670645,0.1065730912231832,0.13168724279835392
10,6.848268372947625e-06,0.03561389274273413,79970,62,17,163,0.99719493342642,0.8978289574594894,0.11411621533630716,0.13127413127413126
11,2.718176317757119e-06,0.0403152068815407,79957,61,18,176,0.9970453298758291,0.9006208349505025,0.11684465399058871,0.13186813186813187
12,1.1242471613815005e-06,0.04460063736758062,79952,61,18,181,0.9969829950630829,0.9015666517705454,0.11778945983315392,0.12949640287769784
13,2.745510027488598e-07,0.04844959668565059,79950,61,18,183,0.9969580611379844,0.9017613439176357,0.11801914443819424,0.12857142857142856
14,9.842064070121085e-08,0.05225122314955512,79948,61,18,185,0.9969331272128859,0.9016449235424588,0.11792938543468948,0.1276595744680851
15,4.4966468386763486e-08,0.05325474378337305,79957,61,18,176,0.9970453298758291,0.9012418752558049,0.1176207877188983,0.13186813186813187
16,2.61296954164791e-08,0.05451881555775354,79963,61,18,170,0.9971201316511246,0.9004602632932877,0.1169717401781563,0.1348314606741573
17,1.2879447388028615e-08,0.05623087979187739,79967,61,18,166,0.9971699995013215,0.8994826164792172,0.11612970335551319,0.13688212927756654
18,5.669074230155675e-09,0.05826973295826593,79970,62,17,163,0.99719493342642,0.8984917795683665,0.11528326562153707,0.13127413127413126
19,2.3884563674430627e-09,0.060521362593640826,79974,63,16,159,0.9972323343140678,0.8976205223373104,0.11451692573754357,0.12598425196850394
20,1.00596173407266e-09,0.0628422740599955,79975,64,15,158,0.9972323343140678,0.8969206573817863,0.11390492104344879,0.11904761904761904
