epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.1336887692235034,0.15041409644259662,77829,45,34,2304,0.9707151049718247,0.8882455228309516,0.12137549172601811,0.02813405047579644
2,0.030068856826764613,0.03495282864523468,79548,59,20,585,0.9919712761182865,0.8801592826609306,0.1168840031296071,0.05847953216374269
3,0.02151045401814255,0.05310609563931157,79307,50,29,826,0.9890789408068618,0.8750647459990171,0.10679425834297313,0.06209850107066381
4,0.015220487329819675,0.23613883059829271,78584,56,23,1549,0.9799905251084626,0.878836639782564,0.12105430102201922,0.02786190187764991
5,0.015755945572548974,0.025887757165150713,79861,60,19,272,0.9958609684336508,0.8770362310633255,0.11281431329275836,0.10270270270270271
6,0.008600964822226768,0.04040206236949481,79503,61,18,630,0.9913853288784721,0.8895306489669784,0.1196649178335953,0.04951856946354883
7,0.01220147737669987,0.09787091692981213,78739,44,35,1394,0.9820725078541864,0.8845081444503576,0.11598843504951495,0.046419098143236075
8,0.008785000872008928,0.1676050037633914,78746,59,20,1387,0.9819727721537924,0.8658119325987634,0.11272638984523668,0.026917900403768506
9,0.006622938750984535,0.0826989251067964,79121,62,17,1012,0.9866104822221115,0.8992181826826825,0.1312250977686305,0.030685920577617327
10,0.00812939399837581,0.030103203569166764,79813,59,20,320,0.9952750211938364,0.892087316229174,0.12047900744758672,0.0954653937947494
11,0.005441113986794823,0.024738223329093787,79880,62,17,253,0.996072906796988,0.8923897406637415,0.12289222648359757,0.09742120343839542
12,0.007265419750394884,0.08751314655281646,78669,48,31,1464,0.9811499526255423,0.8957367079761541,0.1229285426901826,0.03939008894536213
13,0.004832048739478655,0.03312062209986703,79711,54,25,422,0.9940657258265596,0.883718634226295,0.1166879050919618,0.09505703422053231
14,0.005830023703222228,0.08985443330200582,78885,53,26,1248,0.9837804817234329,0.8636940927480217,0.10283372248067964,0.038433111603843315
15,0.0023406905641941726,0.030112190155229732,79844,62,17,289,0.9956240961452152,0.8806392600150352,0.10896024599609475,0.08831168831168831
16,0.005056034673560439,0.38968055768560994,78148,51,28,1985,0.9746172642497382,0.8896470693421554,0.12012535488863683,0.02676864244741874
17,0.003451204762628118,0.2008022822806356,79127,66,13,1006,0.9866354161472098,0.8764805093810021,0.1153308573863041,0.023679417122040074
18,0.005529484259688666,0.051952495307017475,79194,62,17,939,0.9875205704882063,0.860928121554877,0.10649112306486666,0.03285024154589372
19,0.004465186103846802,0.02991622118482033,79753,65,14,380,0.9944522016655862,0.8686126561427071,0.09839297231643528,0.05919661733615222
20,0.0027598507553609503,0.052779912171732155,79430,57,22,703,0.9905251084625741,0.8743723843919611,0.10205526982278033,0.05472636815920398
