epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.18081642753353752,0.7564587666495795,63416,15,64,16717,0.791402782626041,0.8667019087096816,0.11545887240942941,0.007591933570581257
2,0.057095032280183894,1.4078565093458355,56740,14,65,23393,0.708185807609834,0.8549689622016057,0.11470395657093496,0.005523218761949272
3,0.039833672816474264,0.34270343423076965,72201,31,48,7932,0.9007255772203661,0.8633203470117007,0.10829657087497095,0.011912147909169873
4,0.028136672018113443,0.6270232593746297,63528,25,54,16605,0.7926744128060639,0.809772029317715,0.07998479426687306,0.006452383797347353
5,0.030684035742794345,0.43078354094674426,70339,28,51,9794,0.8775494938413205,0.8336318876197437,0.09152262212173523,0.010278113663845224
6,0.019250332802775973,0.4670979819565065,69707,33,46,10426,0.8696080386974517,0.8100130052774603,0.07639362850400447,0.008719552649038006
7,0.017915804466903523,0.45424906016904587,72099,37,42,8034,0.8993791452650476,0.8247830702975292,0.09530064495624123,0.010300429184549357
8,0.0199931222795596,0.6613169303010159,67119,29,50,13014,0.837393407470204,0.8234473952876128,0.08476338467045369,0.007608612949859241
9,0.014585517529822447,0.33580145886205875,73516,41,38,6617,0.9169949633471302,0.8191027985594203,0.08567615516419141,0.011286011286011286
10,0.014722508439977522,0.48659023657624684,69507,26,53,10626,0.8672019149254475,0.8105613025939311,0.06961467699190599,0.009853132552519055
11,0.013257706600941046,1.4949715275012578,58049,24,55,22084,0.7243803919613025,0.7828699976163046,0.07655481622561983,0.0049509406787289585
12,0.0128481186378333,0.5953338683985921,70090,34,45,10043,0.8743704183912632,0.7881524339203796,0.06151918005935383,0.00885216878135143
13,0.010708542807497992,0.7317313059539514,70903,30,49,9230,0.8845559267939959,0.8318730237562331,0.08821972710874498,0.010472323145971362
14,0.012864406987899214,1.0188631569513482,62867,24,55,17266,0.7844462175235626,0.7943187646739828,0.06469516580583512,0.00632183908045977
15,0.009214724029555886,0.7966656291632856,62394,29,50,17739,0.7784870094250237,0.7693931939416543,0.06373148311817677,0.005596597268860533
16,0.010827027938974287,1.8109076907972037,49734,22,57,30399,0.620742532289433,0.7338304815080371,0.06107119066450758,0.003733420664810873
17,0.009518080800344874,1.8684997042592835,53571,20,59,26562,0.6686032015159826,0.7455521335021034,0.06679506080634613,0.004419475655430711
18,0.007805990049304484,0.7996828837676613,69149,39,40,10984,0.8625766718196779,0.7843119042440043,0.07364110015200992,0.0072052598396829684
19,0.009795680615423937,0.716249888147647,61789,24,55,18344,0.771006831895477,0.7983727843599256,0.06682349454790901,0.005953025219179565
20,0.006977446862777427,0.34291766626786463,72510,36,43,7623,0.9045155338353363,0.8163248220087269,0.09141103548262403,0.011103938024531955
