epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.10800032510863457,0.6371825362021076,62793,16,63,17340,0.7836233979953124,0.8669105017970915,0.10858210882635463,0.007207413339434848
2,0.027726987072462378,0.3973902884070275,69834,26,53,10299,0.8712786116790505,0.8552175994750499,0.10210047947186533,0.010162017064519222
3,0.019660259177315332,1.9314358271322172,51452,14,65,28681,0.642260509649429,0.8454693281280632,0.09938312997679329,0.004509973980919341
4,0.018632275807932124,1.3954158812183184,54522,14,65,25611,0.6805340846756096,0.8250301279186644,0.08245279564496175,0.005047563579887401
5,0.012268130243252373,0.7235989626386495,65989,19,60,14144,0.8234304094150501,0.858915328582687,0.09917704853655476,0.008401596303297627
6,0.012750493467608006,0.2588662079383138,76195,36,43,3938,0.9504562908293024,0.8496288685882505,0.0890346381419371,0.021182266009852218
7,0.014451382579700653,1.1078056048774447,64025,26,53,16108,0.7988580262304892,0.8067692682434442,0.06935537706537562,0.006527093596059113
8,0.012037826963650534,0.33669070153183805,72912,37,42,7221,0.9095147858175834,0.8454213066978679,0.10094586420961225,0.011441024244075185
9,0.01061273997456702,0.5916876974370018,68313,28,51,11820,0.8522914277165511,0.8054331983204503,0.07668775976394936,0.008535564853556485
10,0.01269677576885902,0.38913593864251284,72857,37,42,7276,0.908829102877375,0.799356354870155,0.06489660306828501,0.0113559551169393
11,0.008696503554181329,0.7399208761195449,65546,33,46,14587,0.8177330075300454,0.7481016133462928,0.05046837480789451,0.006253398586188146
12,0.007899935683585352,1.440106473283887,53739,19,60,26394,0.6707101181868049,0.7788214277308279,0.05775414196682823,0.0045226698827874725
13,0.009643706586840725,0.6956855148108221,65089,23,56,15044,0.8121602752705331,0.8372451053288464,0.09807795805296476,0.007378615192041637
14,0.012376251580437555,1.046845428742584,55247,27,52,24886,0.6894105620106717,0.7455787506435109,0.04891004780501781,0.004157173122276852
15,0.0061762548633366565,0.5266451883197443,69593,28,51,10540,0.8682491397795841,0.8147098644705709,0.0673488237198063,0.009559512652296157
16,0.006384968528792108,0.7133904726459587,70487,35,44,9646,0.879307335560764,0.8004990753505209,0.07167353262542793,0.009008086805200122
17,0.006873511135761115,0.9804983262182774,57838,23,56,22295,0.7217623298259612,0.7737751494469559,0.05955624091403735,0.004993312527864467
18,0.011727044129689668,0.24190482611390876,75114,38,41,5019,0.9369545703884705,0.8394585141442859,0.08831419031682611,0.01595641175325939
19,0.006274163111738088,0.37572703348622355,73462,31,48,6671,0.9164464169949633,0.8254863315055176,0.07558702644195794,0.01412180052956752
20,0.011341253479516039,0.46080904196029543,72255,34,45,7878,0.9013613923103775,0.7981112729201627,0.06357931521124607,0.011247188202949263
